clip,method,frames,boundary_te,bd_te,outside_changed_fraction,outside_change_mean,extra_mask_ratio,inside_change_mean,residue_diff_le_10
I-210618_I01001_W01,Boundary-only,40,0.017221271991729736,0.03814377263188362,0.022930357605218887,0.009337857365608215,0.13204920291900635,0.14618553221225739,0.4520452916622162
I-210618_I01001_W01,Temporal union,40,0.019608568400144577,0.01951715163886547,0.5051962733268738,0.11951897293329239,5.622759819030762,0.24615097045898438,0.08670508116483688
I-210618_I01001_W01,Ours-Conservative,40,0.014877622947096825,0.025657454505562782,0.057282209396362305,0.014474177733063698,1.1106677055358887,0.16470232605934143,0.28426459431648254
I-210618_I01001_W01,Ours-Balanced,40,0.01594029925763607,0.03530648350715637,0.027266744524240494,0.009734803810715675,0.3920522630214691,0.15135392546653748,0.39605608582496643
I-210618_I01006_W04,Boundary-only,40,0.013647141866385937,0.03361653536558151,0.010819129645824432,0.0074061802588403225,0.1834271252155304,0.11356189846992493,0.5262272953987122
I-210618_I01006_W04,Temporal union,40,0.011841845698654652,0.015013325028121471,0.2817075550556183,0.07715052366256714,4.80186128616333,0.2586040496826172,0.14826610684394836
I-210618_I01006_W04,Ours-Conservative,40,0.011889622546732426,0.02500535547733307,0.042539939284324646,0.012618765234947205,1.143509864807129,0.1426706314086914,0.3601166009902954
I-210618_I01006_W04,Ours-Balanced,40,0.012204323895275593,0.029775861650705338,0.014544474892318249,0.00780319282785058,0.509781539440155,0.11578931659460068,0.5116743445396423
I-210627_O01004_W04,Boundary-only,40,0.0150835532695055,0.029997656121850014,0.061204083263874054,0.012877526693046093,0.25080907344818115,0.13752825558185577,0.5483903884887695
I-210627_O01004_W04,Temporal union,40,0.008243747986853123,0.010600084438920021,0.08406522125005722,0.016313623636960983,2.1605210304260254,0.18460433185100555,0.38030317425727844
I-210627_O01004_W04,Ours-Conservative,40,0.008829912170767784,0.015469658188521862,0.07451275736093521,0.014659591019153595,1.2923978567123413,0.17740917205810547,0.380820631980896
I-210627_O01004_W04,Ours-Balanced,40,0.014119505882263184,0.027318309992551804,0.06270724534988403,0.013044729828834534,0.8560181856155396,0.1389031559228897,0.539275586605072
I-210627_O04018_W05,Boundary-only,40,0.013377143070101738,0.026403149589896202,0.03967687487602234,0.009620273485779762,0.3096759617328644,0.12409088015556335,0.46756890416145325
I-210627_O04018_W05,Temporal union,40,0.004278160631656647,0.008133205585181713,0.045380301773548126,0.010168696753680706,0.796393632888794,0.15230496227741241,0.29364854097366333
I-210627_O04018_W05,Ours-Conservative,40,0.004358498379588127,0.00819360464811325,0.04358282685279846,0.010010384023189545,0.6434866189956665,0.15061642229557037,0.3091321885585785
I-210627_O04018_W05,Ours-Balanced,40,0.011997797526419163,0.02393341064453125,0.04114096611738205,0.00976920872926712,0.6221128702163696,0.1256118267774582,0.4498003423213959
I-210714_O01002_T04,Boundary-only,40,0.04215507209300995,0.09379128366708755,0.05757104232907295,0.012213579379022121,0.18137599527835846,0.19150836765766144,0.22489146888256073
