spread_group,method,clips,spread_mean,BTE,Outside,Extra,ResProxy
low,Area-matched dilation for Balanced,34,1.5141136551556733,0.009693132042336938,0.0772965729291386,0.16291667247081498,0.3700315904091386
low,Area-matched distance-only for Balanced,34,1.5141136551556733,0.009597095784128538,0.07826735002591324,0.16123830900965805,0.3668176343335825
low,Boundary-only,34,1.5141136551556733,0.010687800542013121,0.06926588636056023,0.05056238506564538,0.3823710441151086
low,Ours-Balanced,34,1.5141136551556733,0.009556696846095033,0.0787697070250835,0.1629483918933307,0.3639282514067257
low,Ours-Conservative,34,1.5141136551556733,0.011133859940694915,0.1736105679917861,0.452408626798869,0.16867623532957887
low,Temporal union,34,1.5141136551556733,0.011815069777452726,0.20896668978692848,0.5852716579512858,0.14121728204190725
mid,Area-matched dilation for Balanced,33,2.5355897251923585,0.01417265482472646,0.06288074656163875,0.30725806545127515,0.3949647464535453
mid,Area-matched distance-only for Balanced,33,2.5355897251923585,0.014071676894232136,0.0629965495424006,0.30678587881001557,0.39183903575846646
mid,Boundary-only,33,2.5355897251923585,0.015456780163345413,0.05592912788658088,0.08407366078234074,0.4107433819409573
mid,Ours-Balanced,33,2.5355897251923585,0.014107437790230316,0.06370121411358311,0.3069432152040077,0.3882926002596364
mid,Ours-Conservative,33,2.5355897251923585,0.014252423153569253,0.2080378120369983,1.4010219890059847,0.1825465176706061
mid,Temporal union,33,2.5355897251923585,0.016004754808928878,0.3054419348411488,2.03286946181095,0.1349187592947573
high,Area-matched dilation for Balanced,33,6.837040814270375,0.024310383959814406,0.07171375809632463,0.5007008878570615,0.44409100801655743
high,Area-matched distance-only for Balanced,33,6.837040814270375,0.024187469890228224,0.0717341190161691,0.5011808944470955,0.44142124643831543
high,Boundary-only,33,6.837040814270375,0.025344483469697508,0.06892477037300435,0.17909304854093172,0.4534158164804632
high,Ours-Balanced,33,6.837040814270375,0.02414228368522314,0.07214326393846981,0.501185111024163,0.4385450103066184
high,Ours-Conservative,33,6.837040814270375,0.01809114782901645,0.15777626932796202,3.2822390388358724,0.2758361276126269
high,Temporal union,33,6.837040814270375,0.018086677967486014,0.32348915398346656,8.307528575261435,0.1674808600183689
