clip,method,frames,masked_psnr,masked_ssim,masked_mae,outside_mae,boundary_te,extra_mask_ratio
synthetic_001_I-210618_I01001_W01,Boundary-only,40,16.38284683227539,0.6205061674118042,0.0842176303267479,0.019150231033563614,0.029284125193953514,0.1234944611787796
synthetic_001_I-210618_I01001_W01,Temporal union,40,12.4204740524292,0.38967767357826233,0.18192030489444733,0.03127884864807129,0.02147456258535385,0.980873703956604
synthetic_001_I-210618_I01001_W01,Ours-Balanced,40,15.2365083694458,0.5433436632156372,0.10600528866052628,0.020851556211709976,0.02474805898964405,0.463636577129364
synthetic_001_I-210618_I01001_W01,Area-matched dilation,40,16.099523544311523,0.5855274200439453,0.08991099894046783,0.019840657711029053,0.022247634828090668,0.4649309515953064
synthetic_001_I-210618_I01001_W01,Area-matched distance-only,40,15.228189468383789,0.5432233810424805,0.10671427100896835,0.020829321816563606,0.024447795003652573,0.463636577129364
synthetic_002_I-210618_I01006_W04,Boundary-only,40,23.94720458984375,0.8598421216011047,0.02854730561375618,0.01361991185694933,0.010788388550281525,0.1210830807685852
synthetic_002_I-210618_I01006_W04,Temporal union,40,11.85515022277832,0.37029799818992615,0.1961728036403656,0.05344902724027634,0.0120647381991148,1.549386739730835
synthetic_002_I-210618_I01006_W04,Ours-Balanced,40,22.934795379638672,0.8437153100967407,0.03352006524801254,0.01475837267935276,0.00892297737300396,0.5078124403953552
synthetic_002_I-210618_I01006_W04,Area-matched dilation,40,24.126083374023438,0.8746803402900696,0.028583049774169922,0.01439678855240345,0.007737480103969574,0.5084498524665833
synthetic_002_I-210618_I01006_W04,Area-matched distance-only,40,22.738351821899414,0.8472997546195984,0.034030210226774216,0.01466380339115858,0.008403783664107323,0.5078124403953552
synthetic_003_I-210627_O01004_W04,Boundary-only,40,27.3489990234375,0.7501378059387207,0.02276039496064186,0.015083740465342999,0.006413310766220093,0.22989782691001892
synthetic_003_I-210627_O01004_W04,Temporal union,40,20.67954444885254,0.3587258756160736,0.07041336596012115,0.018668878823518753,0.004678701516240835,1.231960415840149
synthetic_003_I-210627_O01004_W04,Ours-Balanced,40,24.998943328857422,0.6442108750343323,0.030622314661741257,0.016006717458367348,0.004536306485533714,0.7040815353393555
synthetic_003_I-210627_O01004_W04,Area-matched dilation,40,26.214441299438477,0.7041492462158203,0.025686178356409073,0.015615291893482208,0.004492337815463543,0.7041212320327759
synthetic_003_I-210627_O01004_W04,Area-matched distance-only,40,24.90143585205078,0.6461365222930908,0.030085396021604538,0.01604149118065834,0.004163726232945919,0.7040815353393555
synthetic_004_I-210627_O04018_W05,Boundary-only,40,23.420440673828125,0.7686364054679871,0.044553641229867935,0.01085810735821724,0.009942548349499702,0.13893036544322968
synthetic_004_I-210627_O04018_W05,Temporal union,40,12.137548446655273,0.20718243718147278,0.182712122797966,0.029718106612563133,0.00560616422444582,1.9096753597259521
synthetic_004_I-210627_O04018_W05,Ours-Balanced,40,23.3606014251709,0.7643172144889832,0.04473423957824707,0.011919202283024788,0.005360794253647327,0.5546799898147583
synthetic_004_I-210627_O04018_W05,Area-matched dilation,40,23.30312728881836,0.7635231018066406,0.044994108378887177,0.01197977177798748,0.005139966495335102,0.5546251535415649
synthetic_004_I-210627_O04018_W05,Area-matched distance-only,40,23.208797454833984,0.7553855776786804,0.04545866698026657,0.011999976821243763,0.005119533743709326,0.5546799898147583
synthetic_005_I-210714_O01002_T04,Boundary-only,40,16.923601150512695,0.579136848449707,0.08019109070301056,0.020091697573661804,0.02199532464146614,0.11775227636098862
synthetic_005_I-210714_O01002_T04,Temporal union,40,13.030641555786133,0.3113982677459717,0.15840661525726318,0.035009849816560745,0.013511625118553638,0.8681012392044067
synthetic_005_I-210714_O01002_T04,Ours-Balanced,40,14.870465278625488,0.4790054261684418,0.10834546387195587,0.0230561513453722,0.015836484730243683,0.46488943696022034
synthetic_005_I-210714_O01002_T04,Area-matched dilation,40,15.820396423339844,0.549331784248352,0.09355966746807098,0.021832333877682686,0.015837926417589188,0.463383287191391
synthetic_005_I-210714_O01002_T04,Area-matched distance-only,40,14.951513290405273,0.48230457305908203,0.10724659264087677,0.023028839379549026,0.015495079569518566,0.46488943696022034
synthetic_006_I-210714_O01002_W02,Boundary-only,40,22.401960372924805,0.7890101671218872,0.03721100091934204,0.018627068027853966,0.01480243168771267,0.1214781254529953
synthetic_006_I-210714_O01002_W02,Temporal union,40,12.834368705749512,0.4884336590766907,0.14901864528656006,0.03270911052823067,0.009098680689930916,1.323140263557434
synthetic_006_I-210714_O01002_W02,Ours-Balanced,40,21.460594177246094,0.7680325508117676,0.04125073552131653,0.019223159179091454,0.006804546806961298,0.44620460271835327
synthetic_006_I-210714_O01002_W02,Area-matched dilation,40,21.916431427001953,0.7911664843559265,0.037977904081344604,0.019013408571481705,0.00798313319683075,0.4462776184082031
synthetic_006_I-210714_O01002_W02,Area-matched distance-only,40,21.531103134155273,0.7625123262405396,0.04127589613199234,0.019306080415844917,0.006902632303535938,0.44620460271835327
synthetic_007_I-210714_O01003_T03,Boundary-only,40,20.361431121826172,0.632140040397644,0.059808336198329926,0.027983402833342552,0.019487325102090836,0.1110372394323349
synthetic_007_I-210714_O01003_T03,Temporal union,40,14.834701538085938,0.21487626433372498,0.13977758586406708,0.046722281724214554,0.015141820535063744,1.0942896604537964
synthetic_007_I-210714_O01003_T03,Ours-Balanced,40,19.438770294189453,0.5737584829330444,0.06801839172840118,0.029800135642290115,0.01535043679177761,0.41394537687301636
synthetic_007_I-210714_O01003_T03,Area-matched dilation,40,19.764022827148438,0.6374804973602295,0.06329203397035599,0.029215434566140175,0.01331289391964674,0.41800183057785034
synthetic_007_I-210714_O01003_T03,Area-matched distance-only,40,19.051959991455078,0.5557800531387329,0.0717422217130661,0.03008410334587097,0.01537754200398922,0.41394537687301636
synthetic_008_I-210715_I03012_W06,Boundary-only,40,18.017419815063477,0.8002946972846985,0.06512100994586945,0.013172222301363945,0.01863766834139824,0.10369564592838287
synthetic_008_I-210715_I03012_W06,Temporal union,40,14.667757987976074,0.7235957384109497,0.11994433403015137,0.01808992028236389,0.014693425968289375,0.9959648847579956
synthetic_008_I-210715_I03012_W06,Ours-Balanced,40,16.56077003479004,0.7797406315803528,0.07809850573539734,0.01357281394302845,0.017100028693675995,0.3449123501777649
synthetic_008_I-210715_I03012_W06,Area-matched dilation,40,17.634126663208008,0.7944891452789307,0.06897085160017014,0.013347744941711426,0.01721629500389099,0.34719038009643555
synthetic_008_I-210715_I03012_W06,Area-matched distance-only,40,15.775616645812988,0.7722923159599304,0.08703020215034485,0.013650874607264996,0.016415463760495186,0.3449123501777649
synthetic_009_I-210715_I06019_T02,Boundary-only,40,25.988636016845703,0.8366422653198242,0.02774520218372345,0.017072346061468124,0.006659061647951603,0.15857747197151184
synthetic_009_I-210715_I06019_T02,Temporal union,40,17.42886734008789,0.466369092464447,0.10130920261144638,0.02730892226099968,0.0053385356441140175,1.5165822505950928
synthetic_009_I-210715_I06019_T02,Ours-Balanced,40,22.49016761779785,0.7765814065933228,0.04161600023508072,0.018177784979343414,0.004485519137233496,0.5671500563621521
synthetic_009_I-210715_I06019_T02,Area-matched dilation,40,25.36903953552246,0.8365631103515625,0.031073223799467087,0.017715608701109886,0.00407420052215457,0.5640532970428467
synthetic_009_I-210715_I06019_T02,Area-matched distance-only,40,22.38787841796875,0.770110011100769,0.04120580852031708,0.0182468444108963,0.004205857869237661,0.5671500563621521
